                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.75166,                0.40033,                 1.0207,                0.99484,                      1,                  0.995,                0.68411,                0.92506,                  0.397,                 1.0836,              0.0014307,              0.0014307,              0.0014307
                    159,                0.78695,                0.39935,                0.98574,                0.99484,                      1,                  0.995,                0.68411,                0.92506,                  0.397,                 1.0836,              0.0014292,              0.0014292,              0.0014292
                    160,                0.90609,                0.41577,                 1.0413,                0.99472,                      1,                  0.995,                0.69465,                0.93959,                0.38548,                  1.086,              0.0014277,              0.0014277,              0.0014277
                    161,                0.77897,                0.38639,                 0.9041,                0.99472,                      1,                  0.995,                0.69465,                0.93959,                0.38548,                  1.086,              0.0014261,              0.0014261,              0.0014261
                    162,                0.95287,                0.40451,                 1.1073,                0.99785,                      1,                  0.995,                 0.6995,                0.89548,                0.38876,                 1.0632,              0.0014246,              0.0014246,              0.0014246
                    163,                 0.8244,                0.39202,                0.95275,                0.99785,                      1,                  0.995,                 0.6995,                0.89548,                0.38876,                 1.0632,              0.0014231,              0.0014231,              0.0014231
                    164,                0.78323,                0.37779,                0.94306,                0.99781,                      1,                  0.995,                0.70494,                0.88837,                0.39514,                 1.0598,              0.0014216,              0.0014216,              0.0014216
                    165,                0.84367,                0.39014,                0.95878,                0.99781,                      1,                  0.995,                0.70494,                0.88837,                0.39514,                 1.0598,              0.0014201,              0.0014201,              0.0014201
                    166,                0.79823,                0.39721,                0.94661,                0.99847,                      1,                  0.995,                0.71869,                0.89557,                0.38502,                  1.059,              0.0014186,              0.0014186,              0.0014186
                    167,                0.73722,                0.41087,                  1.091,                0.99847,                      1,                  0.995,                0.71869,                0.89557,                0.38502,                  1.059,              0.0014171,              0.0014171,              0.0014171
                    168,                0.84186,                0.41092,                 1.0507,                0.99884,                      1,                  0.995,                0.70231,                0.89419,                0.36805,                  1.063,              0.0014155,              0.0014155,              0.0014155
                    169,                0.73968,                0.38901,                 1.0278,                0.99884,                      1,                  0.995,                0.70231,                0.89419,                0.36805,                  1.063,               0.001414,               0.001414,               0.001414
                    170,                0.91258,                0.38757,                 1.0312,                 0.9989,                      1,                  0.995,                0.71269,                0.85433,                0.35227,                 1.0463,              0.0014125,              0.0014125,              0.0014125
                    171,                0.80346,                0.39691,                0.91629,                 0.9989,                      1,                  0.995,                0.71269,                0.85433,                0.35227,                 1.0463,               0.001411,               0.001411,               0.001411
                    172,                0.72917,                0.37231,                 0.9614,                0.99842,                      1,                  0.995,                0.71855,                0.84553,                0.34373,                 1.0358,              0.0014095,              0.0014095,              0.0014095
                    173,                0.77893,                0.36764,                0.96001,                0.99842,                      1,                  0.995,                0.71855,                0.84553,                0.34373,                 1.0358,               0.001408,               0.001408,               0.001408
                    174,                0.84167,                0.40418,                 1.0123,                0.99757,                      1,                  0.995,                0.71605,                0.86979,                0.36019,                 1.0444,              0.0014064,              0.0014064,              0.0014064
                    175,                0.83965,                0.39385,                0.93773,                0.99757,                      1,                  0.995,                0.71605,                0.86979,                0.36019,                 1.0444,              0.0014049,              0.0014049,              0.0014049
                    176,                0.69556,                0.35062,                 1.0146,                0.99774,                      1,                  0.995,                0.71908,                0.89993,                0.36873,                 1.0578,              0.0014034,              0.0014034,              0.0014034
                    177,                0.73323,                0.37086,                 1.0167,                0.99774,                      1,                  0.995,                0.71908,                0.89993,                0.36873,                 1.0578,              0.0014019,              0.0014019,              0.0014019
                    178,                0.73063,                 0.3779,                0.95691,                0.99885,                      1,                  0.995,                0.72526,                0.89708,                0.36873,                   1.06,              0.0014004,              0.0014004,              0.0014004
                    179,                 0.7206,                0.35645,                0.95916,                0.99885,                      1,                  0.995,                0.72526,                0.89708,                0.36873,                   1.06,              0.0013989,              0.0013989,              0.0013989
                    180,                0.85416,                 0.3964,                0.97504,                0.99862,                      1,                  0.995,                0.73796,                0.86627,                 0.3608,                 1.0475,              0.0013974,              0.0013974,              0.0013974
                    181,                0.78804,                0.37737,                0.96368,                0.99862,                      1,                  0.995,                0.73796,                0.86627,                 0.3608,                 1.0475,              0.0013958,              0.0013958,              0.0013958
                    182,                0.79755,                0.39731,                0.98109,                0.99829,                      1,                  0.995,                0.73794,                0.84543,                0.34489,                 1.0386,              0.0013943,              0.0013943,              0.0013943
                    183,                0.83166,                0.40652,                 1.0722,                0.99829,                      1,                  0.995,                0.73794,                0.84543,                0.34489,                 1.0386,              0.0013928,              0.0013928,              0.0013928
                    184,                0.87242,                0.39983,                0.98462,                0.99854,                      1,                  0.995,                0.75038,                0.85642,                0.34382,                 1.0522,              0.0013913,              0.0013913,              0.0013913
                    185,                0.88075,                0.40258,                 1.0434,                0.99854,                      1,                  0.995,                0.75038,                0.85642,                0.34382,                 1.0522,              0.0013898,              0.0013898,              0.0013898
                    186,                0.78339,                0.38203,                0.94104,                0.99894,                      1,                  0.995,                0.74323,                0.90282,                0.35573,                 1.0837,              0.0013883,              0.0013883,              0.0013883
                    187,                0.73731,                0.37036,                0.95926,                0.99894,                      1,                  0.995,                0.74323,                0.90282,                0.35573,                 1.0837,              0.0013868,              0.0013868,              0.0013868
                    188,                 0.6904,                0.34984,                0.96599,                0.99883,                      1,                  0.995,                 0.7474,                0.89951,                0.35729,                 1.0813,              0.0013852,              0.0013852,              0.0013852
                    189,                0.68402,                0.36272,                0.95698,                0.99883,                      1,                  0.995,                 0.7474,                0.89951,                0.35729,                 1.0813,              0.0013837,              0.0013837,              0.0013837
                    190,                  0.857,                0.41704,                0.93225,                0.99894,                      1,                  0.995,                0.74934,                0.86801,                0.37347,                 1.0612,              0.0013822,              0.0013822,              0.0013822
                    191,                0.69581,                0.36192,                0.97783,                0.99894,                      1,                  0.995,                0.74934,                0.86801,                0.37347,                 1.0612,              0.0013807,              0.0013807,              0.0013807
                    192,                0.79576,                0.38974,                0.95944,                0.99898,                      1,                  0.995,                0.74847,                0.85292,                0.36055,                  1.052,              0.0013792,              0.0013792,              0.0013792
                    193,                0.80422,                0.38685,                0.96384,                0.99898,                      1,                  0.995,                0.74847,                0.85292,                0.36055,                  1.052,              0.0013777,              0.0013777,              0.0013777
                    194,                0.82003,                0.39062,                  1.053,                0.99874,                      1,                  0.995,                0.74977,                 0.8387,                0.34939,                 1.0382,              0.0013761,              0.0013761,              0.0013761
                    195,                 0.7435,                 0.3528,                0.96916,                0.99874,                      1,                  0.995,                0.74977,                 0.8387,                0.34939,                 1.0382,              0.0013746,              0.0013746,              0.0013746
                    196,                0.99928,                0.42468,                 1.0899,                0.99862,                      1,                  0.995,                0.73659,                0.85475,                0.34803,                 1.0523,              0.0013731,              0.0013731,              0.0013731
                    197,                0.94811,                0.41223,                0.98548,                0.99862,                      1,                  0.995,                0.73659,                0.85475,                0.34803,                 1.0523,              0.0013716,              0.0013716,              0.0013716
                    198,                0.88178,                0.41438,                0.98362,                0.99891,                      1,                  0.995,                0.72012,                0.88627,                0.36085,                 1.0734,              0.0013701,              0.0013701,              0.0013701
                    199,                0.78044,                0.41643,                0.99905,                0.99891,                      1,                  0.995,                0.72012,                0.88627,                0.36085,                 1.0734,              0.0013686,              0.0013686,              0.0013686
                    200,                0.76313,                0.37105,                0.95019,                0.99835,                      1,                  0.995,                0.72117,                0.89316,                0.36438,                 1.0748,              0.0013671,              0.0013671,              0.0013671
                    201,                0.70394,                0.37608,                0.91416,                0.99835,                      1,                  0.995,                0.72117,                0.89316,                0.36438,                 1.0748,              0.0013655,              0.0013655,              0.0013655
                    202,                0.72927,                0.35604,                0.95045,                0.99826,                      1,                  0.995,                0.72725,                 0.8781,                0.36258,                 1.0667,               0.001364,               0.001364,               0.001364
                    203,                0.81731,                0.40428,                 1.0653,                0.99826,                      1,                  0.995,                0.72725,                 0.8781,                0.36258,                 1.0667,              0.0013625,              0.0013625,              0.0013625
                    204,                 0.7799,                0.38137,                0.93731,                0.99913,                 0.9998,                  0.995,                 0.7388,                0.86745,                0.35599,                 1.0549,               0.001361,               0.001361,               0.001361
                    205,                 0.7244,                0.36709,                0.92252,                0.99913,                 0.9998,                  0.995,                 0.7388,                0.86745,                0.35599,                 1.0549,              0.0013595,              0.0013595,              0.0013595
                    206,                0.99401,                0.41926,                 1.1041,                0.99791,                0.99916,                  0.995,                0.74462,                0.87452,                0.37141,                 1.0552,               0.001358,               0.001358,               0.001358
                    207,                0.79591,                0.37763,                 1.0174,                0.99791,                0.99916,                  0.995,                0.74462,                0.87452,                0.37141,                 1.0552,              0.0013565,              0.0013565,              0.0013565
                    208,                0.74617,                0.37512,                0.95354,                0.99428,                0.99611,                 0.9949,                0.73965,                0.88093,                0.36665,                 1.0592,              0.0013549,              0.0013549,              0.0013549
                    209,                0.70867,                0.35891,                0.96018,                0.99428,                0.99611,                 0.9949,                0.73965,                0.88093,                0.36665,                 1.0592,              0.0013534,              0.0013534,              0.0013534
                    210,                0.83663,                0.38696,                0.97247,                0.99425,                0.99642,                 0.9949,                0.71886,                0.91138,                0.38065,                 1.0769,              0.0013519,              0.0013519,              0.0013519
                    211,                0.70698,                0.36987,                0.95785,                0.99425,                0.99642,                 0.9949,                0.71886,                0.91138,                0.38065,                 1.0769,              0.0013504,              0.0013504,              0.0013504
                    212,                0.83622,                0.42125,                0.94113,                0.99212,                  0.995,                 0.9949,                0.70573,                0.94415,                0.39821,                 1.1036,              0.0013489,              0.0013489,              0.0013489
                    213,                 1.0125,                0.44096,                 1.1232,                0.99212,                  0.995,                 0.9949,                0.70573,                0.94415,                0.39821,                 1.1036,              0.0013474,              0.0013474,              0.0013474
                    214,                0.85525,                0.40064,                  1.003,                0.99416,                      1,                0.99495,                0.73079,                0.86553,                0.35832,                 1.0568,              0.0013459,              0.0013459,              0.0013459
                    215,                0.71391,                 0.3874,                 1.0432,                0.99416,                      1,                0.99495,                0.73079,                0.86553,                0.35832,                 1.0568,              0.0013443,              0.0013443,              0.0013443
                    216,                0.74936,                0.36217,                  0.993,                0.99334,                      1,                0.99495,                 0.7567,                0.85895,                  0.356,                 1.0515,              0.0013428,              0.0013428,              0.0013428
                    217,                0.83979,                0.41329,                0.93305,                0.99334,                      1,                0.99495,                 0.7567,                0.85895,                  0.356,                 1.0515,              0.0013413,              0.0013413,              0.0013413
                    218,                0.88312,                0.41726,                 1.0262,                0.99184,                      1,                  0.995,                0.74932,                0.86907,                 0.3708,                 1.0559,              0.0013398,              0.0013398,              0.0013398
                    219,                0.73873,                0.36163,                0.96826,                0.99184,                      1,                  0.995,                0.74932,                0.86907,                 0.3708,                 1.0559,              0.0013383,              0.0013383,              0.0013383
                    220,                0.70738,                0.35922,                0.94161,                  0.994,                      1,                  0.995,                0.73253,                0.87205,                0.36452,                 1.0571,              0.0013368,              0.0013368,              0.0013368
                    221,                 0.8737,                 0.4619,                 1.0987,                  0.994,                      1,                  0.995,                0.73253,                0.87205,                0.36452,                 1.0571,              0.0013352,              0.0013352,              0.0013352
                    222,                0.79663,                 0.3975,                0.96443,                0.99715,                      1,                  0.995,                0.71746,                0.86949,                0.36138,                 1.0498,              0.0013337,              0.0013337,              0.0013337
                    223,                0.78185,                0.40775,                0.94113,                0.99715,                      1,                  0.995,                0.71746,                0.86949,                0.36138,                 1.0498,              0.0013322,              0.0013322,              0.0013322
                    224,                0.68213,                0.35938,                0.97952,                0.99697,                      1,                  0.995,                0.71972,                0.85096,                0.33989,                 1.0361,              0.0013307,              0.0013307,              0.0013307
                    225,                 0.7282,                0.37467,                0.91074,                0.99697,                      1,                  0.995,                0.71972,                0.85096,                0.33989,                 1.0361,              0.0013292,              0.0013292,              0.0013292
                    226,                0.77408,                0.37604,                0.91968,                0.99808,                      1,                  0.995,                0.71673,                0.86325,                0.34512,                 1.0533,              0.0013277,              0.0013277,              0.0013277
                    227,                0.71214,                0.37909,                0.96175,                0.99808,                      1,                  0.995,                0.71673,                0.86325,                0.34512,                 1.0533,              0.0013262,              0.0013262,              0.0013262
                    228,                0.84832,                0.37368,                 1.0218,                  0.998,                      1,                  0.995,                0.69634,                0.93473,                0.37449,                 1.0989,              0.0013246,              0.0013246,              0.0013246
                    229,                0.77505,                0.39247,                0.96435,                  0.998,                      1,                  0.995,                0.69634,                0.93473,                0.37449,                 1.0989,              0.0013231,              0.0013231,              0.0013231
                    230,                0.84159,                0.41526,                0.94868,                0.99836,                      1,                  0.995,                0.69751,                0.96176,                0.40917,                 1.1098,              0.0013216,              0.0013216,              0.0013216
                    231,                 0.7889,                0.38005,                0.98384,                0.99836,                      1,                  0.995,                0.69751,                0.96176,                0.40917,                 1.1098,              0.0013201,              0.0013201,              0.0013201
                    232,                0.81324,                0.38726,                0.98304,                 0.9927,                      1,                  0.995,                0.70036,                0.93004,                0.39193,                 1.0896,              0.0013186,              0.0013186,              0.0013186
                    233,                0.73756,                 0.3636,                0.94754,                 0.9927,                      1,                  0.995,                0.70036,                0.93004,                0.39193,                 1.0896,              0.0013171,              0.0013171,              0.0013171
                    234,                0.78526,                0.39535,                 1.0028,                0.99827,                      1,                  0.995,                0.70863,                0.86551,                0.35525,                 1.0515,              0.0013156,              0.0013156,              0.0013156
                    235,                0.73401,                0.37934,                0.95917,                0.99827,                      1,                  0.995,                0.70863,                0.86551,                0.35525,                 1.0515,               0.001314,               0.001314,               0.001314
                    236,                0.66522,                0.35675,                0.93639,                0.99865,                      1,                  0.995,                0.71162,                0.84963,                0.34588,                 1.0427,              0.0013125,              0.0013125,              0.0013125
                    237,                0.69921,                0.36234,                0.98693,                0.99865,                      1,                  0.995,                0.71162,                0.84963,                0.34588,                 1.0427,               0.001311,               0.001311,               0.001311
                    238,                0.75325,                0.38482,                0.93451,                0.99882,                      1,                  0.995,                0.70411,                0.86098,                0.35559,                  1.044,              0.0013095,              0.0013095,              0.0013095
                    239,                0.70993,                0.36007,                0.95129,                0.99882,                      1,                  0.995,                0.70411,                0.86098,                0.35559,                  1.044,               0.001308,               0.001308,               0.001308
                    240,                0.83709,                0.39274,                0.97648,                0.99777,                      1,                  0.995,                0.71089,                0.86607,                 0.3569,                 1.0446,              0.0013065,              0.0013065,              0.0013065
                    241,                0.75332,                0.38373,                  1.084,                0.99777,                      1,                  0.995,                0.71089,                0.86607,                 0.3569,                 1.0446,               0.001305,               0.001305,               0.001305
                    242,                0.67164,                0.32041,                0.91775,                0.99409,                      1,                  0.995,                0.70477,                0.88778,                0.37523,                 1.0606,              0.0013034,              0.0013034,              0.0013034
                    243,                0.75267,                0.35123,                0.95687,                0.99409,                      1,                  0.995,                0.70477,                0.88778,                0.37523,                 1.0606,              0.0013019,              0.0013019,              0.0013019
                    244,                0.76791,                0.38418,                0.95106,                0.99377,                0.99996,                 0.9949,                0.71064,                0.87823,                0.38033,                 1.0576,              0.0013004,              0.0013004,              0.0013004
                    245,                0.78811,                0.37389,                0.96114,                0.99377,                0.99996,                 0.9949,                0.71064,                0.87823,                0.38033,                 1.0576,              0.0012989,              0.0012989,              0.0012989
                    246,                0.77509,                0.37735,                0.96373,                0.99643,                0.99998,                  0.995,                0.71094,                0.85804,                0.36581,                 1.0467,              0.0012974,              0.0012974,              0.0012974
                    247,                0.73299,                0.37733,                0.94368,                0.99643,                0.99998,                  0.995,                0.71094,                0.85804,                0.36581,                 1.0467,              0.0012959,              0.0012959,              0.0012959
                    248,                0.76818,                0.36548,                 1.0308,                0.99662,                      1,                  0.995,                0.70227,                0.86826,                0.35283,                 1.0482,              0.0012943,              0.0012943,              0.0012943
                    249,                0.85349,                0.42582,                 1.0051,                0.99662,                      1,                  0.995,                0.70227,                0.86826,                0.35283,                 1.0482,              0.0012928,              0.0012928,              0.0012928
                    250,                0.81432,                0.40208,                0.94747,                0.99747,                      1,                  0.995,                0.69603,                0.88213,                0.36943,                 1.0652,              0.0012913,              0.0012913,              0.0012913
                    251,                0.77659,                0.41173,                0.94981,                0.99747,                      1,                  0.995,                0.69603,                0.88213,                0.36943,                 1.0652,              0.0012898,              0.0012898,              0.0012898
                    252,                0.72327,                0.38086,                 1.0084,                0.99835,                      1,                  0.995,                0.69405,                0.88235,                0.37072,                  1.067,              0.0012883,              0.0012883,              0.0012883
                    253,                0.79392,                0.39691,                0.93666,                0.99835,                      1,                  0.995,                0.69405,                0.88235,                0.37072,                  1.067,              0.0012868,              0.0012868,              0.0012868
                    254,                0.66608,                0.34653,                0.90947,                 0.9987,                0.99737,                  0.995,                0.70711,                  0.851,                  0.363,                 1.0543,              0.0012853,              0.0012853,              0.0012853
                    255,                0.71304,                 0.3946,                0.93448,                 0.9987,                0.99737,                  0.995,                0.70711,                  0.851,                  0.363,                 1.0543,              0.0012837,              0.0012837,              0.0012837
                    256,                0.73705,                0.36885,                  1.034,                0.99828,                0.99817,                  0.995,                0.69774,                0.83914,                0.34818,                 1.0484,              0.0012822,              0.0012822,              0.0012822
                    257,                0.76542,                0.36216,                0.91122,                0.99828,                0.99817,                  0.995,                0.69774,                0.83914,                0.34818,                 1.0484,              0.0012807,              0.0012807,              0.0012807
                    258,                0.74246,                0.36552,                0.97065,                0.99263,                      1,                  0.995,                0.69241,                0.85398,                 0.3584,                 1.0598,              0.0012792,              0.0012792,              0.0012792
                    259,                0.73856,                0.35679,                0.91152,                0.99263,                      1,                  0.995,                0.69241,                0.85398,                 0.3584,                 1.0598,              0.0012777,              0.0012777,              0.0012777
                    260,                0.80863,                0.38483,                0.96645,                0.98392,                      1,                0.99478,                0.69425,                0.86026,                0.36542,                 1.0594,              0.0012762,              0.0012762,              0.0012762
                    261,                0.77247,                0.35573,                0.92964,                0.98392,                      1,                0.99478,                0.69425,                0.86026,                0.36542,                 1.0594,              0.0012747,              0.0012747,              0.0012747
                    262,                0.67673,                0.34391,                0.92256,                 0.9809,                      1,                0.99485,                0.70405,                0.85884,                0.36892,                 1.0496,              0.0012731,              0.0012731,              0.0012731
                    263,                0.64426,                0.32944,                0.94818,                 0.9809,                      1,                0.99485,                0.70405,                0.85884,                0.36892,                 1.0496,              0.0012716,              0.0012716,              0.0012716
                    264,                0.77879,                0.37802,                0.93249,                0.99659,                      1,                  0.995,                0.69707,                0.86324,                0.35285,                 1.0471,              0.0012701,              0.0012701,              0.0012701
                    265,                0.76324,                0.36038,                0.91879,                0.99659,                      1,                  0.995,                0.69707,                0.86324,                0.35285,                 1.0471,              0.0012686,              0.0012686,              0.0012686
                    266,                0.66319,                0.32659,                0.98978,                0.96481,                0.97632,                0.99355,                 0.6927,                0.87122,                0.41018,                 1.0562,              0.0012671,              0.0012671,              0.0012671
                    267,                0.69309,                0.36429,                0.87785,                0.96481,                0.97632,                0.99355,                 0.6927,                0.87122,                0.41018,                 1.0562,              0.0012656,              0.0012656,              0.0012656
                    268,                0.72027,                0.34464,                0.95426,                0.98766,                  0.995,                0.99495,                0.69993,                0.88029,                0.40636,                 1.0618,              0.0012641,              0.0012641,              0.0012641
                    269,                 0.6168,                0.32181,                0.91277,                0.98766,                  0.995,                0.99495,                0.69993,                0.88029,                0.40636,                 1.0618,              0.0012625,              0.0012625,              0.0012625
                    270,                0.74692,                0.35015,                0.94353,                0.99786,                      1,                  0.995,                0.70635,                0.86943,                0.35519,                 1.0466,               0.001261,               0.001261,               0.001261
                    271,                0.69159,                0.33614,                0.93702,                0.99786,                      1,                  0.995,                0.70635,                0.86943,                0.35519,                 1.0466,              0.0012595,              0.0012595,              0.0012595
                    272,                0.73019,                0.35541,                0.97053,                 0.9936,                0.99977,                0.99495,                0.71531,                0.87686,                0.36703,                 1.0544,               0.001258,               0.001258,               0.001258
                    273,                0.86128,                0.37773,                 1.0537,                 0.9936,                0.99977,                0.99495,                0.71531,                0.87686,                0.36703,                 1.0544,              0.0012565,              0.0012565,              0.0012565
                    274,                0.71886,                 0.3445,                0.96079,                0.99351,                      1,                0.99495,                0.72518,                0.85028,                0.35667,                 1.0417,               0.001255,               0.001255,               0.001255
                    275,                0.73734,                0.36435,                0.91317,                0.99351,                      1,                0.99495,                0.72518,                0.85028,                0.35667,                 1.0417,              0.0012534,              0.0012534,              0.0012534
                    276,                0.85171,                0.41678,                0.90944,                0.99662,                      1,                  0.995,                0.71816,                0.87051,                0.35882,                 1.0622,              0.0012519,              0.0012519,              0.0012519
                    277,                0.73884,                0.35917,                0.92461,                0.99662,                      1,                  0.995,                0.71816,                0.87051,                0.35882,                 1.0622,              0.0012504,              0.0012504,              0.0012504
                    278,                0.74815,                0.38195,                0.97202,                 0.9762,                      1,                0.99478,                0.71907,                0.87559,                0.35703,                 1.0661,              0.0012489,              0.0012489,              0.0012489
                    279,                0.68274,                0.33345,                0.98991,                 0.9762,                      1,                0.99478,                0.71907,                0.87559,                0.35703,                 1.0661,              0.0012474,              0.0012474,              0.0012474
                    280,                0.71342,                0.34421,                 1.0165,                0.97618,                      1,                0.98384,                0.70636,                0.85203,                0.35063,                 1.0468,              0.0012459,              0.0012459,              0.0012459
                    281,                0.65272,                0.33816,                0.95294,                0.97618,                      1,                0.98384,                0.70636,                0.85203,                0.35063,                 1.0468,              0.0012444,              0.0012444,              0.0012444
                    282,                0.68746,                0.34382,                0.92031,                0.97755,                      1,                0.99478,                0.72622,                0.84261,                0.34083,                 1.0394,              0.0012428,              0.0012428,              0.0012428
                    283,                0.79496,                0.38969,                0.90036,                0.97755,                      1,                0.99478,                0.72622,                0.84261,                0.34083,                 1.0394,              0.0012413,              0.0012413,              0.0012413
                    284,                0.70486,                0.35459,                0.93831,                0.99806,                      1,                  0.995,                0.74429,                0.84736,                0.33568,                 1.0424,              0.0012398,              0.0012398,              0.0012398
                    285,                0.64842,                 0.3273,                0.92933,                0.99806,                      1,                  0.995,                0.74429,                0.84736,                0.33568,                 1.0424,              0.0012383,              0.0012383,              0.0012383
                    286,                0.74354,                0.34004,                 1.0065,                 0.9975,                      1,                  0.995,                0.74907,                0.85228,                0.35219,                 1.0428,              0.0012368,              0.0012368,              0.0012368
                    287,                0.79829,                0.39514,                0.94829,                 0.9975,                      1,                  0.995,                0.74907,                0.85228,                0.35219,                 1.0428,              0.0012353,              0.0012353,              0.0012353
                    288,                 0.6498,                0.32202,                0.91825,                0.99686,                      1,                  0.995,                0.74493,                0.85694,                0.36477,                  1.043,              0.0012338,              0.0012338,              0.0012338
                    289,                0.70494,                0.35132,                0.95898,                0.99686,                      1,                  0.995,                0.74493,                0.85694,                0.36477,                  1.043,              0.0012322,              0.0012322,              0.0012322
                    290,                0.69341,                0.34719,                0.96688,                0.99817,                      1,                  0.995,                0.73837,                0.83457,                0.34543,                 1.0294,              0.0012307,              0.0012307,              0.0012307
                    291,                0.76778,                0.36494,                0.95873,                0.99817,                      1,                  0.995,                0.73837,                0.83457,                0.34543,                 1.0294,              0.0012292,              0.0012292,              0.0012292
