                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1259,                0.77672,                 1.1484,                 0.0855,                0.53364,                0.07104,                0.05634,                 1.9185,                    nan,                 6.8321,              0.0011147,              0.0011147,              0.0011147
                     36,                 1.0461,                0.81123,                 1.0514,                0.00037,                0.02273,                0.00023,                  5e-05,                 1.8985,                    inf,                 2.6835,              0.0011459,              0.0011459,              0.0011459
                     37,                 1.1061,                0.63931,                 1.0749,                0.00037,                0.02273,                0.00023,                  5e-05,                 1.8985,                    inf,                 2.6835,              0.0011771,              0.0011771,              0.0011771
                     38,                0.98333,                0.63681,                 1.0573,                0.50074,                0.05045,                0.25299,                0.22749,                 1.3368,                    inf,                 1.4914,              0.0012082,              0.0012082,              0.0012082
                     39,                 0.9126,                0.66302,                0.99625,                0.03912,                0.59455,                0.03386,                0.02425,                 1.0501,                    inf,                 1.7596,              0.0012393,              0.0012393,              0.0012393
                     40,                0.87679,                0.51499,                 1.0264,                0.03912,                0.59455,                0.03386,                0.02425,                 1.0501,                    inf,                 1.7596,              0.0012703,              0.0012703,              0.0012703
                     41,                0.86962,                0.52771,                 1.0671,                0.04916,                  0.285,                0.03709,                0.03049,                    nan,                    nan,                    nan,              0.0013012,              0.0013012,              0.0013012
                     42,                0.91035,                0.58725,                0.97875,                0.19927,                0.90909,                0.20564,                 0.1485,                 1.0064,                 16.933,                 1.2351,              0.0013321,              0.0013321,              0.0013321
                     43,                 0.8438,                0.47769,                0.97717,                0.19927,                0.90909,                0.20564,                 0.1485,                 1.0064,                 16.933,                 1.2351,              0.0013629,              0.0013629,              0.0013629
                     44,                0.89647,                0.49882,                 1.0056,                0.09799,                0.67045,                0.10861,                0.08604,                0.95245,                 27.488,                 1.2486,              0.0013936,              0.0013936,              0.0013936
                     45,                 0.8292,                0.51222,                 1.0574,                0.09799,                0.67045,                0.10861,                0.08604,                0.95245,                 27.488,                 1.2486,              0.0014243,              0.0014243,              0.0014243
                     46,                0.81232,                0.51334,                 1.0105,                0.09028,                   0.13,                0.05736,                0.04828,                 1.0009,                    inf,                 1.7031,              0.0014549,              0.0014549,              0.0014549
                     47,                0.87863,                0.60254,                 1.0559,                0.09028,                   0.13,                0.05736,                0.04828,                 1.0009,                    inf,                 1.7031,              0.0014855,              0.0014855,              0.0014855
                     48,                0.88284,                0.56311,                 1.1547,                0.00495,                  0.005,                 0.0025,                 0.0025,                 1.0193,                    inf,                 2.0368,               0.001516,               0.001516,               0.001516
                     49,                0.88427,                0.59206,                 1.0444,                0.00495,                  0.005,                 0.0025,                 0.0025,                 1.0193,                    inf,                 2.0368,              0.0015465,              0.0015465,              0.0015465
                     50,                0.85934,                0.59519,                 1.0396,                0.08263,                  0.115,                0.04727,                0.03971,                0.97437,                    inf,                  1.771,              0.0015768,              0.0015768,              0.0015768
                     51,                0.97206,                0.52898,                0.98284,                0.08263,                  0.115,                0.04727,                0.03971,                0.97437,                    inf,                  1.771,              0.0015913,              0.0015913,              0.0015913
                     52,                0.82227,                0.48173,                 0.9858,                0.23679,                  0.495,                0.24776,                0.19316,                0.97581,                    inf,                  1.645,              0.0015913,              0.0015913,              0.0015913
                     53,                0.90342,                0.56571,                   1.06,                0.23679,                  0.495,                0.24776,                0.19316,                0.97581,                    inf,                  1.645,              0.0015897,              0.0015897,              0.0015897
                     54,                 1.0012,                0.51172,                 1.0319,                0.25176,                   0.49,                0.25912,                0.20698,                0.92372,                    inf,                 1.2658,              0.0015882,              0.0015882,              0.0015882
                     55,                0.94109,                0.50225,                 1.0517,                0.25176,                   0.49,                0.25912,                0.20698,                0.92372,                    inf,                 1.2658,              0.0015867,              0.0015867,              0.0015867
                     56,                0.90155,                0.48765,                 1.0055,                0.33901,                0.95808,                 0.3424,                0.26249,                0.89855,                 2.3432,                    1.1,              0.0015852,              0.0015852,              0.0015852
                     57,                0.88767,                0.50687,                 1.0249,                0.33901,                0.95808,                 0.3424,                0.26249,                0.89855,                 2.3432,                    1.1,              0.0015837,              0.0015837,              0.0015837
                     58,                0.95564,                 0.5197,                 1.0809,                  0.707,                0.99584,                0.84728,                0.56265,                 1.0034,                 1.3279,                 1.1928,              0.0015822,              0.0015822,              0.0015822
                     59,                 1.0419,                0.57269,                 1.1305,                  0.707,                0.99584,                0.84728,                0.56265,                 1.0034,                 1.3279,                 1.1928,              0.0015807,              0.0015807,              0.0015807
                     60,                0.86849,                0.53402,                 1.0128,                0.84351,                0.88437,                0.79358,                0.50875,                0.99502,                  1.177,                 1.2012,              0.0015791,              0.0015791,              0.0015791
                     61,                 1.0334,                0.56787,                 1.1679,                0.84351,                0.88437,                0.79358,                0.50875,                0.99502,                  1.177,                 1.2012,              0.0015776,              0.0015776,              0.0015776
                     62,                 0.9374,                0.51417,                 1.0367,                 0.7477,                0.56818,                0.53929,                0.42864,                0.93551,                 1.1585,                 1.1483,              0.0015761,              0.0015761,              0.0015761
                     63,                 1.0633,                0.53231,                 1.0192,                 0.7477,                0.56818,                0.53929,                0.42864,                0.93551,                 1.1585,                 1.1483,              0.0015746,              0.0015746,              0.0015746
                     64,                0.96569,                0.47895,                 1.0224,                0.93053,                0.59091,                0.58428,                0.43894,                0.95827,                 1.0744,                 1.1642,              0.0015731,              0.0015731,              0.0015731
                     65,                0.83783,                0.45965,                0.94884,                0.93053,                0.59091,                0.58428,                0.43894,                0.95827,                 1.0744,                 1.1642,              0.0015716,              0.0015716,              0.0015716
                     66,                0.94787,                 0.4682,                 1.0309,                0.91291,                0.63636,                0.64193,                0.47155,                0.97826,                0.84427,                 1.1678,                0.00157,                0.00157,                0.00157
                     67,                0.89987,                0.53542,                 1.1246,                0.91291,                0.63636,                0.64193,                0.47155,                0.97826,                0.84427,                 1.1678,              0.0015685,              0.0015685,              0.0015685
                     68,                0.91111,                0.48999,                 1.0278,                0.94578,                0.62416,                0.63687,                0.49744,                0.91226,                0.74248,                 1.1053,               0.001567,               0.001567,               0.001567
                     69,                0.76514,                0.43782,                  1.001,                0.94578,                0.62416,                0.63687,                0.49744,                0.91226,                0.74248,                 1.1053,              0.0015655,              0.0015655,              0.0015655
                     70,                0.95858,                0.47707,                 1.0654,                0.88342,                0.41736,                0.46886,                0.38265,                 1.0154,                 1.2919,                 1.2028,               0.001564,               0.001564,               0.001564
                     71,                 1.0209,                0.50104,                 1.0593,                0.88342,                0.41736,                0.46886,                0.38265,                 1.0154,                 1.2919,                 1.2028,              0.0015625,              0.0015625,              0.0015625
                     72,                0.84256,                0.45655,                 1.0228,                0.42957,                  0.415,                0.41791,                0.34359,                0.98032,                 2.6252,                 1.2674,               0.001561,               0.001561,               0.001561
                     73,                 1.1588,                0.50868,                  1.189,                0.42957,                  0.415,                0.41791,                0.34359,                0.98032,                 2.6252,                 1.2674,              0.0015594,              0.0015594,              0.0015594
                     74,                0.94016,                0.50001,                0.99791,                0.36423,                   0.45,                0.37827,                0.31309,                0.93477,                 2.2323,                 1.4136,              0.0015579,              0.0015579,              0.0015579
                     75,                0.93872,                0.48967,                 1.0386,                0.36423,                   0.45,                0.37827,                0.31309,                0.93477,                 2.2323,                 1.4136,              0.0015564,              0.0015564,              0.0015564
                     76,                0.90514,                0.46671,                0.98499,                0.99415,                0.84434,                0.87111,                0.66294,                0.86915,                0.60927,                 1.0684,              0.0015549,              0.0015549,              0.0015549
                     77,                0.77711,                0.40744,                 0.9492,                0.99415,                0.84434,                0.87111,                0.66294,                0.86915,                0.60927,                 1.0684,              0.0015534,              0.0015534,              0.0015534
                     78,                0.84685,                 0.4528,                0.96735,                0.99751,                0.99158,                  0.995,                0.68865,                0.94529,                0.47198,                 1.1292,              0.0015519,              0.0015519,              0.0015519
                     79,                0.85975,                0.48776,                 1.1193,                0.99751,                0.99158,                  0.995,                0.68865,                0.94529,                0.47198,                 1.1292,              0.0015504,              0.0015504,              0.0015504
                     80,                0.82035,                0.43444,                 1.0199,                0.99295,                  0.995,                0.99485,                0.70258,                0.90978,                0.46008,                 1.1149,              0.0015488,              0.0015488,              0.0015488
                     81,                0.90903,                0.48107,                 1.0009,                0.99295,                  0.995,                0.99485,                0.70258,                0.90978,                0.46008,                 1.1149,              0.0015473,              0.0015473,              0.0015473
